source_id,source,current_ud_coverage,join_key,boundary_assessment,prototype_decision,reason,official_url,verified_date
IPEDS_DFR_PEERS,IPEDS Data Feedback Report 2025,confirmed,UNITID,CORE with DFR_SUBMITTED peer provenance,include_identity_page,Thirty institution comparison group explicitly described as chosen by University of Delaware,https://nces.ed.gov/ipeds/dfr/2025/ReportHTML.aspx?unitId=130943,2026-09-13
IPEDS_HD_IC,IPEDS directory and institutional characteristics,confirmed,UNITID,CORE,include_ipeds_page,Primary institution record and key identifiers verified in HD2024 at UNITID 130943,https://nces.ed.gov/ipeds/datacenter/data/HD2024.zip,2026-09-13
IPEDS_ENROLLMENT,IPEDS fall and 12-month enrollment,confirmed,UNITID,CORE,include_ipeds_page,Fall 2023 browser report and EF2023A row locators verify enrollment at UNITID 130943,https://nces.ed.gov/ipeds/reported-data/html/130943?surveyNumber=15&viewMode=print&year=2023,2026-09-13
NCSES_HERD,NCSES Higher Education Research and Development Survey FY2024,confirmed,UNITID plus NCSES_INST_ID,CORE for Delaware,include_research_page,Exact FY2024 row maps UNITID 130943 to U3284001; med_sch_flag is F,https://ncses.nsf.gov/surveys/higher-education-research-development/2024,2026-09-13
CARNEGIE_2025,Carnegie Classifications,confirmed,UNITID,Display metadata only,include_identity_metadata,Official page reports UnitID 130943 and 2025 classifications; do not use labels in peer-distance calculations,https://carnegieclassifications.acenet.edu/institution/university-of-delaware/,2026-09-13
NCSES_GSS,Survey of Graduate Students and Postdoctorates in Science and Engineering,confirmed,NCSES institution and UNITID crosswalk,CORE,confirmed_defer,University appears in NCSES Academic Institution Profiles; source is outside the three-page prototype,https://ncsesdata.nsf.gov/profiles/site?method=view&tin=U3284001,2026-09-13
NCSES_SED,Survey of Earned Doctorates,confirmed,NCSES institution,CORE,confirmed_defer,University appears in NCSES Academic Institution Profiles; source is outside the three-page prototype,https://ncsesdata.nsf.gov/profiles/site?method=view&tin=U3284001,2026-09-13
NCSES_FACILITIES,Survey of Science and Engineering Research Facilities,confirmed,NCSES institution,CORE,confirmed_defer,University profile contains the biennial facilities series; source is outside the three-page prototype,https://ncsesdata.nsf.gov/profiles/site?method=view&tin=U3284001,2026-09-13
SCORECARD_INSTITUTION,College Scorecard institution data,confirmed,UNITID and OPEID,CORE,confirmed_defer,API returned id 130943 with OPEID6 001431 and one main-campus branch,https://api.data.gov/ed/collegescorecard/v1/schools.json?id=130943,2026-09-13
SCORECARD_FIELD,College Scorecard field-of-study outcomes,unverified_current_coverage,OPEID6 plus CIP4 plus credential,CORE with pooled OPEID caveat,conditional_defer,API rate limit prevented a clean field-level coverage audit; suppression and pooled-OPEID behavior must be measured first,https://collegescorecard.ed.gov/files/FieldOfStudyDataDocumentation.pdf,2026-09-13
NSF_AWARDS,NSF Awards,confirmed,UEI,CORE for exact recipient UEI,confirmed_defer,NSF API returned 2527 award records for T72NHKM259N3; live count is evidence of presence and not a benchmark,https://api.nsf.gov/services/v1/awards.json?ueiNumber=T72NHKM259N3,2026-09-13
NIH_REPORTER,NIH RePORTER,confirmed,NIH ORG_IPF_CODE plus DUNS,CORE for exact organization,confirmed_defer,Exact-name FY2025 query returned org IPF 2076701 and DUNS 059007500,https://api.reporter.nih.gov/v2/projects/search,2026-09-13
USASPENDING,USAspending prime awards and transactions,confirmed,UEI,CORE when direct recipient UEI is used,confirmed_defer,Current award record verifies recipient and parent UEI T72NHKM259N3; transactions and subawards remain separate grains,https://www.usaspending.gov/award/CONT_AWD_12639526F0081_12K3_12639522D0030_12K3,2026-09-13
OPENALEX,OpenAlex research graph,confirmed,ROR to OpenAlex institution ID,Conditional on related-organization policy,conditional_defer,Exact ROR lookup returns I86501945; six ROR children and one related organization require reviewed rollup rules,https://api.openalex.org/institutions?filter=ror:https://ror.org/01sbq1a82,2026-09-13
CLINICALTRIALS,ClinicalTrials.gov,confirmed_name_coverage,Sponsor and collaborator names,String-matched CORE only,conditional_defer,Sponsor query returned 181 studies and a sample with University of Delaware as lead sponsor; no stable institution identifier is present,https://clinicaltrials.gov/api/v2/studies?query.spons=University%20of%20Delaware&pageSize=1&countTotal=true,2026-09-13
AACT,AACT ClinicalTrials relational files,confirmed_underlying_coverage,NCT plus sponsor strings,String-matched CORE only,conditional_defer,Same trial universe as ClinicalTrials.gov; download-account requirement and source-specific terms must be handled,https://aact.ctti-clinicaltrials.org/,2026-09-13
